3|0|206460754|6219|4810
19|0|159099756|6766|5468
23|0|184489359|7566|6299
10|0|171271788|6255|4813
27|0|185288642|8772|7543
16|0|196749907|6905|5339
22|0|174304416|6746|5565
29|0|171198611|8339|7206
25|0|171958465|6832|5697
26|0|154906686|6258|4837
31|0|69170430|5977|4558
28|0|171760605|5820|4662
15|0|187798789|6921|5677
24|0|173934774|7921|6772
12|0|186693033|7294|6111
1|0|236561252|5251|3330
17|0|172721249|6172|4774
8|0|230974653|7709|6397
11|0|187489194|6373|4709
21|0|183933434|6652|5341
6|0|220016102|5671|4303
2|0|260293914|7536|6260
7|0|198869905|7489|6133
4|0|233104007|6681|5259
18|0|184979754|7682|6561
0|0|275002047|8122|6817
30|0|182772093|8215|7045
13|0|187008277|5697|4475
20|0|173261470|5210|3884
14|0|174954736|5933|4588
5|0|188492837|7543|4774
9|0|208260124|5874|4516
4|1|53796014|5516|4470
30|1|53463942|5525|4190
21|1|53892907|5587|4463
22|1|54061358|7850|7006
8|1|53980253|5711|4686
16|1|54130986|5717|4709
3|1|54273894|7490|6448
27|1|54203398|6484|5495
12|1|54024686|6993|6162
6|1|54000601|5203|4213
25|1|54226703|6009|5109
19|1|54377717|6667|5819
5|1|52044753|6145|5041
15|1|54349716|6733|5671
1|1|54334114|5410|4450
11|1|54293898|6814|5801
14|1|52938555|5613|4666
24|1|54448673|6824|5921
28|1|54494476|6382|5553
26|1|54517908|7379|6426
9|1|49141032|5132|4192
31|1|54552869|7394|6386
18|1|54345354|5721|4623
2|1|54347305|5608|4483
17|1|54611826|6040|4955
20|1|53354477|4900|3278
10|1|55537873|7575|6615
29|1|55641317|7153|6205
0|1|56089260|5511|4401
7|1|56345680|5482|4369
13|1|59822932|5576|4535
23|1|95911696|7513|6574
19|2|827262466|63543|61108
22|2|827447602|64228|62236
8|2|827455481|66647|64744
3|2|827424255|71237|69248
16|2|827495069|63669|61406
15|2|827275776|64646|62390
11|2|827255553|68534|66309
7|2|825158017|71110|69230
4|2|827720674|67425|65627
13|2|820861531|62690|60899
12|2|827713222|63522|61584
24|2|827415304|58377|55769
6|2|827707480|62296|60099
31|2|827343924|64817|62597
26|2|827395626|62934|60853
27|2|827810136|66313|64340
9|2|827415383|64057|61971
23|2|786223039|67610|29678
5|2|827751325|57202|51875
20|2|827373512|60575|58214
14|2|827668991|62180|60094
25|2|827926135|59728|57410
2|2|827589099|64729|62703
30|2|828153180|63147|61137
28|2|827707110|58048|56125
10|2|826778428|63844|61003
21|2|828199741|64783|62903
0|2|825926670|63841|60966
29|2|826686694|60377|57388
18|2|827751179|64075|56090
1|2|828185517|64289|62059
17|2|828355345|61231|58405
11|3|49140248|6122|4905
25|3|48687042|5733|4344
27|3|48904422|6127|4791
24|3|48961339|6084|4744
21|3|48640289|6174|4645
17|3|47868592|5946|3516
13|3|49186053|6196|4940
9|3|49006019|6300|4923
8|3|49425916|6824|5564
16|3|49368189|6077|4818
31|3|49124312|6063|4709
26|3|49129698|5917|4624
0|3|48788716|5727|4082
20|3|49002924|5646|4119
23|3|49043184|4652|3268
19|3|49620897|7567|6466
18|3|48811192|5994|3967
14|3|49000044|6088|4582
10|3|48923100|6114|4644
22|3|49625375|7928|6909
1|3|48633755|7074|5804
4|3|49482377|7679|6469
5|3|49190051|5791|4156
15|3|49624811|6221|4893
12|3|49431924|5924|4571
3|3|49804267|6949|5706
7|3|49742447|6930|5692
2|3|49591010|6003|4523
6|3|49994741|6175|5000
29|3|49688434|6079|4541
30|3|50114314|5877|4554
28|3|50915186|6001|4598
3|4|57042982|5349|3777
13|4|57448000|8489|7353
15|4|57154058|6386|4963
12|4|57149428|6287|4942
18|4|57324425|6227|4685
0|4|57446572|6350|5010
14|4|57405101|6793|5658
